id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts312984,Our Blues,SHOW,2022,TV-MA,66,['drama'],['KR'],1,tt19115260,8.6,2392,13.506,8.714
ts343136,Faten Amal Harby,SHOW,2022,TV-MA,36,['drama'],['EG'],1,tt21053544,6.7,51,4.911,4.5
ts271595,Crime Scene: The Vanishing at the Cecil Hotel,SHOW,2021,,55,"['thriller', 'documentation', 'crime']",['US'],1,tt13837672,5.9,16799,11.587,7.106
tm1092995,Shaun the Sheep: The Flight Before Christmas,MOVIE,2021,G,30,"['animation', 'comedy', 'family']",['GB'],,tt15857304,7.3,2229,24.831,7
tm1031976,Dhamaka,MOVIE,2021,,104,"['thriller', 'drama', 'crime', 'action']",['IN'],,tt13510660,7.1,41621,21.776,7.1
tm1204615,Katt Williams: World War III,MOVIE,2022,,59,['comedy'],[],,tt19995810,4.7,553,3.192,5.4
tm1264411,To Russia with Love,MOVIE,2022,,115,"['romance', 'comedy']",['PH'],,tt23143150,4.1,76,3.181,6.8
ts271321,Beyond Evil,SHOW,2021,TV-MA,66,"['drama', 'crime', 'thriller']",['KR'],1,tt13634872,8.1,3858,16.772,8.522
tm998858,Brian Regan: On the Rocks,MOVIE,2021,,58,['comedy'],['US'],,tt13926994,6.9,668,2.471,6.8
ts308689,Misfit: The Series,SHOW,2021,,24,['comedy'],['NL'],1,tt15517928,7,87,4.675,6.75
tm845549,The Reason I Jump,MOVIE,2021,,82,"['documentation', 'drama']","['US', 'GB']",,tt9098928,7.4,988,3.737,7
ts283284,Navarasa,SHOW,2021,TV-MA,34,['drama'],['IN'],1,tt13357946,5.8,3646,6.429,5.8
tm810504,Yaksha: Ruthless Operations,MOVIE,2022,,125,"['thriller', 'action', 'crime']","['TW', 'KR']",,tt12663250,6.2,3923,74.851,6.4
tm1073802,Mimi,MOVIE,2021,,132,"['comedy', 'drama']",['IN'],,tt10895576,7.9,40501,5.603,7.1
tm810547,Night in Paradise,MOVIE,2021,,131,"['thriller', 'action', 'crime', 'drama']",['KR'],,tt12792418,6.7,7578,27.744,6.932
tm1045603,The House of Flowers: The Movie,MOVIE,2021,R,86,"['drama', 'comedy']",['MX'],,tt14549558,5.6,917,13.875,8
ts343427,Samurai Rabbit: The Usagi Chronicles,SHOW,2022,TV-Y7,25,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],2,tt12717354,6.5,519,9.94,5.6
ts309235,Christmas Flow,SHOW,2021,TV-MA,50,"['comedy', 'music', 'romance']",['FR'],1,tt15340790,6,847,5.885,6.537
ts362794,"El Rey, Vicente FernÃ¡ndez",SHOW,2022,TV-MA,45,"['drama', 'music']",['CO'],1,tt16442864,7.3,395,55.903,7.667
ts270616,We Are: The Brooklyn Saints,SHOW,2021,TV-14,48,"['documentation', 'sport']",['US'],1,tt13656220,6.5,170,1.425,7.3
ts188367,Bombay Begums,SHOW,2021,TV-MA,47,['drama'],['IN'],1,tt10238792,5.1,4956,3.176,6.143
ts320335,Summer Heat,SHOW,2022,TV-MA,48,"['drama', 'romance']",['BR'],1,tt14655298,5.6,341,7.403,7.6
ts331654,Pedal to Metal,SHOW,2022,TV-MA,38,"['drama', 'action', 'crime', 'thriller']",['MX'],1,tt15016440,7.5,79,3.312,6.6
ts359088,Designing Miami,SHOW,2022,TV-MA,39,['reality'],['US'],1,tt21107750,7.1,231,2.566,5.5
